"nom","nb_publi","ouvre_data","code_region","code_departement","nb_ptf","nb_datagouv","pop_insee","CSP_chef","age_chef","partis_po_chef","part_plus65","nb_crea_entps","flux_migration_res","part_diplomes","depenses_hab","nb_etudiants","part_etudiants","niveau_rural","densite","obligation_ouvrir"
"Quintin",0,0,53,22,0,0,3014,"Autres professions libérales",58,NA,31.2,14,NA,6,1184.84558725946,NA,NA,4,3,0
"Le Quiou",0,0,53,22,0,0,315,"Cadres supérieurs (secteur privé)",55,NA,22.8,1,NA,4,814.373015873016,NA,NA,5,3,0
"La Roche-Jaudy",0,0,53,22,0,0,3244,"Fonctionnaires de catégorie C",56,NA,23,23,NA,5.3,939.657789765721,130,4,5,3,0
"Rospez",0,0,53,22,0,0,1812,"Employés (secteur privé)",55,NA,22.1,7,NA,7,759.928835540839,NA,NA,3,3,0
"Rostrenen",0,0,53,22,0,0,3408,"Retraités salariés privés",74,NA,33.9,26,NA,3.4,1489.13171068075,138,4,5,3,0
"Rouillac",0,0,53,22,0,0,399,"Agriculteurs propriétaires exploit.",54,NA,22,2,NA,1.7,1962.72754385965,NA,NA,5,3,0
"Ruca",0,0,53,22,0,0,612,"Fonctionnaires de catégorie C",62,NA,21.7,1,NA,2.9,1067.41970588235,NA,NA,5,3,0
"Runan",0,0,53,22,0,0,239,"Agriculteurs propriétaires exploit.",65,NA,23.2,2,NA,3.8,1681.70037656904,NA,NA,5,3,0
"Saint-Adrien",0,0,53,22,0,0,364,"Retraités de l'enseignement",76,NA,18.4,0,NA,3.4,1197.61513736264,NA,NA,5,3,0
"Saint-Agathon",0,0,53,22,0,0,2317,"Retraités salariés privés",77,NA,23.5,15,NA,5.4,892.238385843763,NA,NA,5,3,0
"Saint-Alban",0,0,53,22,0,0,2182,"Retraités agricoles",73,NA,23.3,18,NA,3.1,1215.55874885426,NA,NA,5,3,0
"Saint-André-des-Eaux",0,0,53,22,0,0,339,"Agriculteurs propriétaires exploit.",46,NA,16.9,4,NA,3.9,717.930501474926,NA,NA,5,3,0
"Saint-Barnabé",0,0,53,22,0,0,1277,"Agriculteurs propriétaires exploit.",58,NA,20.6,6,NA,3.1,1348.695614722,NA,NA,5,3,0
"Saint-Bihy",0,0,53,22,0,0,261,"Agriculteurs propriétaires exploit.",69,NA,10,1,NA,4.9,582.71061302682,NA,NA,4,3,0
"Saint-Brandan",0,0,53,22,0,0,2445,"Fonctionnaires de catégorie C",62,NA,21.7,14,NA,3.2,1455.15658895706,NA,NA,3,3,0
"Saint-Brieuc",9,1,53,22,9,0,47058,"Industriels-Chefs entreprise",66,NA,22.2,381,35238,9.7,1837.95354668707,3930,8.4,1,1,1
"Saint-Caradec",0,0,53,22,0,0,1144,"Cadres supérieurs (secteur privé)",70,NA,23.1,10,NA,2.2,1749.60916083916,NA,NA,5,3,0
"Saint-Carné",0,0,53,22,0,0,1050,"Fonctionnaires de catégorie B",54,NA,14,11,NA,4,723.927695238095,NA,NA,5,3,0
"Saint-Carreuc",0,0,53,22,0,0,1538,"Retraités fonct.publique (sf enseig.)",68,NA,15.1,5,NA,2.3,1189.97859557867,NA,NA,3,3,0
"Saint-Cast-le-Guildo",0,0,53,22,0,0,3428,"Autres cadres (secteur privé)",66,NA,44.2,33,NA,7.3,2669.92678529755,NA,NA,5,3,0
"Saint-Clet",0,0,53,22,0,0,899,"Retraités agricoles",70,NA,27.5,3,NA,4.2,634.323236929922,NA,NA,5,3,0
"Saint-Connan",0,0,53,22,0,0,310,"Architectes",68,NA,26.2,4,NA,5.7,1018.00587096774,NA,NA,6,4,0
"Saint-Connec",0,0,53,22,0,0,262,"Retraités de l'enseignement",69,NA,24.3,1,NA,3,984.03893129771,NA,NA,6,4,0
"Saint-Denoual",0,0,53,22,0,0,467,"Retraités agricoles",73,NA,14,0,NA,3,753.042034261242,NA,NA,5,3,0
"Saint-Donan",0,0,53,22,0,0,1490,"Retraités des entreprises publiques",68,NA,18,5,NA,4.8,838.719644295302,NA,NA,3,3,0
"Saint-Étienne-du-Gué-de-l'Isle",0,0,53,22,0,0,361,"Salariés agricoles",62,NA,25.7,1,NA,1,2042.33828254848,NA,NA,6,4,0
"Saint-Fiacre",0,0,53,22,0,0,217,"Industriels-Chefs entreprise",72,NA,27.4,1,NA,2.2,1000.73930875576,NA,NA,5,3,0
"Saint-Gildas",0,0,53,22,0,0,280,"Employés (autres entrep. publiques)",59,NA,20.7,0,NA,6.3,876.418321428571,NA,NA,6,4,0
"Saint-Gilles-les-Bois",0,0,53,22,0,0,433,"Agriculteurs propriétaires exploit.",57,NA,19.1,0,NA,4.6,692.904203233256,NA,NA,5,3,0
"Saint-Gilles-Pligeaux",0,0,53,22,0,0,295,"Agriculteurs propriétaires exploit.",66,NA,27.9,6,NA,4.5,1799.6173220339,NA,NA,6,4,0
"Saint-Gilles-Vieux-Marché",0,0,53,22,0,0,359,"Agriculteurs propriétaires exploit.",54,NA,22.7,2,NA,4.8,1168.00473537604,NA,NA,6,4,0
"Saint-Glen",0,0,53,22,0,0,618,"Agriculteurs propriétaires exploit.",62,NA,19.8,8,NA,2.7,1121.91029126214,NA,NA,5,3,0
"Saint-Hélen",0,0,53,22,0,0,1500,"Retraités de l'enseignement",65,NA,15.6,14,NA,3.3,624.697693333333,NA,NA,5,3,0
"Saint-Hervé",0,0,53,22,0,0,418,"Enseignants 1er deg.-directeurs école",67,NA,20.5,1,NA,2.3,2171.69136363636,NA,NA,5,3,0
"Saint-Jacut-de-la-Mer",0,0,53,22,0,0,924,"Retraités salariés privés",72,NA,43.5,11,NA,10.1,1758.49128787879,NA,NA,5,3,0
"Saint-Jean-Kerdaniel",0,0,53,22,0,0,639,"Fonctionnaires de catégorie A",42,NA,18.3,5,NA,2.4,513.027558685446,NA,NA,5,3,0
"Saint-Jouan-de-l'Isle",0,0,53,22,0,0,504,"Retraités salariés privés",71,NA,15.9,0,NA,3.8,653.148531746032,NA,NA,5,3,0
"Saint-Judoce",0,0,53,22,0,0,582,"Retraités des entreprises publiques",69,NA,19.6,8,NA,4.8,887.380962199313,NA,NA,5,3,0
"Saint-Julien",0,0,53,22,0,0,2103,"Fonctionnaires de catégorie B",62,NA,21,15,NA,4.4,1238.16888730385,NA,NA,3,3,0
"Saint-Juvat",0,0,53,22,0,0,674,"Ingénieurs",45,NA,24,2,NA,3.4,1097.01658753709,NA,NA,5,3,0
"Saint-Launeuc",0,0,53,22,0,0,207,"Commercants",62,NA,25.6,2,NA,1.3,2542.08975845411,NA,NA,6,4,0
"Saint-Laurent",0,0,53,22,0,0,507,"Agriculteurs propriétaires exploit.",63,NA,20,0,NA,5.2,924.461814595661,NA,NA,5,3,0
"Saint-Lormel",0,0,53,22,0,0,892,"Autres retraités",69,NA,26.4,7,NA,4.7,886.632051569507,NA,NA,5,3,0
"Saint-Maden",0,0,53,22,0,0,239,"Agriculteurs propriétaires exploit.",63,NA,21.9,1,NA,2.3,865.784728033473,NA,NA,5,3,0
"Saint-Martin-des-Prés",0,0,53,22,0,0,330,"Artisans",70,NA,24,2,NA,0.8,1169.86627272727,NA,NA,6,4,0
"Saint-Maudan",0,0,53,22,0,0,412,"Retraités agricoles",74,NA,15.6,3,NA,3.3,1268.50888349515,NA,NA,5,3,0
"Saint-Maudez",0,0,53,22,0,0,304,"Autres cadres (secteur privé)",55,NA,21.1,2,NA,1.9,1650.0275,NA,NA,6,4,0
"Saint-Mayeux",0,0,53,22,0,0,484,"Agriculteurs propriétaires exploit.",61,NA,32.3,4,NA,3.3,1521.31059917355,NA,NA,6,4,0
"Saint-Méloir-des-Bois",0,0,53,22,0,0,259,"Fonctionnaires de catégorie B",56,NA,21.4,1,NA,3.7,798.944980694981,NA,NA,5,3,0
"Saint-Michel-de-Plélan",0,0,53,22,0,0,338,"Employés (autres entrep. publiques)",57,NA,20.3,1,NA,2.6,652.748964497041,NA,NA,5,3,0
"Saint-Michel-en-Grève",0,0,53,22,0,0,465,"Employés (secteur privé)",53,NA,34,8,NA,14.9,1415.51387096774,NA,NA,3,3,0
"Saint-Nicodème",0,0,53,22,0,0,171,"Agriculteurs propriétaires exploit.",66,NA,29.8,5,NA,5.9,789.313391812865,NA,NA,6,4,0
"Saint-Nicolas-du-Pélem",0,0,53,22,0,0,1705,"Retraités agricoles",73,NA,30.7,7,NA,2.7,1542.03205865103,NA,NA,5,3,0
"Saint-Péver",0,0,53,22,0,0,424,"Agriculteurs propriétaires exploit.",65,NA,18.5,1,NA,1.4,725.928985849057,NA,NA,5,3,0
"Saint-Pôtan",0,0,53,22,0,0,817,"Permanents politiques",35,"Parti socialiste",26.8,3,NA,4.4,893.73446756426,NA,NA,5,3,0
"Saint-Quay-Perros",0,0,53,22,0,0,1349,"Cadres supérieurs (secteur privé)",59,NA,35.7,15,NA,10.8,1018.46530022239,NA,NA,2,2,0
"Saint-Quay-Portrieux",0,0,53,22,0,0,3147,"Chirurgiens",65,NA,45.4,34,NA,8.5,2681.36848427073,29,0.9,2,2,0
"Saint-Rieul",0,0,53,22,0,0,553,"Retraités agricoles",71,NA,15.8,2,NA,1.8,681.609855334539,NA,NA,5,3,0
"Saint-Samson-sur-Rance",0,0,53,22,0,0,1613,"Autres retraités",79,NA,18,9,NA,5.2,913.68442033478,NA,NA,5,3,0
"Saint-Servais",0,0,53,22,0,0,417,"Cadres supérieurs (secteur privé)",68,NA,27.9,2,NA,4.2,1359.0851558753,NA,NA,5,3,0
"Saint-Thélo",0,0,53,22,0,0,425,"Retraités agricoles",71,NA,21.2,4,NA,3,1083.60169411765,NA,NA,6,4,0
"Sainte-Tréphine",0,0,53,22,0,0,193,"Agriculteurs propriétaires exploit.",68,NA,21.5,1,NA,4.7,1654.39953367876,NA,NA,6,4,0
"Saint-Trimoël",0,0,53,22,0,0,539,"Retraités fonct.publique (sf enseig.)",70,NA,12.1,3,NA,3.4,581.928107606679,NA,NA,5,3,0
"Saint-Vran",0,0,53,22,0,0,774,"Cadres (entreprises publiques)",64,NA,18.9,4,NA,1.1,1734.18051679587,NA,NA,5,3,0
"Saint-Igeaux",0,0,53,22,0,0,142,"Agriculteurs propriétaires exploit.",68,NA,26.1,1,NA,7.1,1274.8576056338,NA,NA,6,4,0
"Senven-Léhart",0,0,53,22,0,0,236,"Retraités salariés privés",77,NA,30.9,1,NA,1.1,990.438516949152,NA,NA,6,4,0
"Sévignac",0,0,53,22,0,0,1126,"Fonctionnaires de catégorie A",60,NA,20.8,3,NA,2,834.761571936057,NA,NA,5,3,0
"Squiffiec",0,0,53,22,0,0,803,"Retraités de l'enseignement",69,NA,17.5,3,NA,11.6,792.216376089664,NA,NA,5,3,0
"Taden",0,0,53,22,0,0,2482,"Retraités de l'enseignement",57,NA,20.2,26,NA,5.1,1208.03639403707,NA,NA,5,3,0
"Tonquédec",0,0,53,22,0,0,1209,"Représentants de commerce",66,NA,18.3,5,NA,13.9,1366.18382133995,NA,NA,3,3,0
"Tramain",0,0,53,22,0,0,701,"Employés (secteur privé)",58,NA,17.6,2,NA,3.1,774.204008559201,NA,NA,5,3,0
"Trébédan",0,0,53,22,0,0,434,"Enseignants 1er deg.-directeurs école",65,NA,14.4,2,NA,2.6,802.145299539171,NA,NA,5,3,0
"Trébeurden",0,0,53,22,0,0,3787,"Retraités des entreprises publiques",70,NA,34.7,25,NA,13.7,1978.27483496171,NA,NA,3,3,1
"Trébrivan",0,0,53,22,0,0,752,"Retraités agricoles",73,NA,29.7,4,NA,2.8,785.418005319149,NA,NA,5,3,0
"Trébry",0,0,53,22,0,0,836,"Agriculteurs propriétaires exploit.",66,NA,20.6,4,NA,2.7,864.87278708134,NA,NA,5,3,0
"Trédaniel",0,0,53,22,0,0,975,"Agriculteurs propriétaires exploit.",48,NA,16.4,3,NA,1.9,2111.53433846154,NA,NA,5,3,0
"Trédarzec",0,0,53,22,0,0,1118,"Retraités fonct.publique (sf enseig.)",69,NA,26.7,3,NA,4.2,942.55427549195,NA,NA,5,3,0
"Trédias",0,0,53,22,0,0,490,"Retraités fonct.publique (sf enseig.)",69,NA,25.7,7,NA,2.2,855.240551020408,NA,NA,5,3,0
"Trédrez-Locquémeau",0,0,53,22,0,0,1484,"Retraités salariés privés",74,"La République en marche",30.5,12,NA,8.8,1363.44735849057,NA,NA,3,3,0
"Tréduder",0,0,53,22,0,0,200,"Retraités fonct.publique (sf enseig.)",69,NA,25.1,2,NA,7.5,801.38865,NA,NA,3,3,0
"Treffrin",0,0,53,22,0,0,572,"Salariés agricoles",63,NA,27.4,2,NA,6.2,626.197482517483,NA,NA,5,3,0
"Tréfumel",0,0,53,22,0,0,278,"Fonctionnaires de catégorie B",69,NA,23.2,1,NA,6,2319.73787769784,NA,NA,6,4,0
"Trégastel",0,0,53,22,0,0,2518,"Agents généraux d'assurances",69,NA,38.7,17,NA,12,2192.85251787133,NA,NA,2,2,0
"Tréglamus",0,0,53,22,0,0,1035,"Agriculteurs propriétaires exploit.",50,NA,16.3,9,NA,3.9,1676.09171980676,NA,NA,5,3,0
"Trégomeur",0,0,53,22,0,0,967,"Retraités agricoles",72,NA,15.7,7,NA,5.9,913.001168562565,NA,NA,3,3,0
"Trégonneau",0,0,53,22,0,0,573,"Salariés du secteur médical",60,NA,13.2,0,NA,2,780.427137870855,NA,NA,5,3,0
"Trégrom",0,0,53,22,0,0,421,"Agriculteurs propriétaires exploit.",50,NA,23.9,6,NA,6.2,1127.05,NA,NA,5,3,0
"Trégueux",1,1,53,22,1,0,8619,"Sans profession déclarée",59,NA,24.8,59,NA,5,1211.26868894303,NA,NA,1,1,1
"Tréguidel",0,0,53,22,0,0,627,"Salariés agricoles",59,NA,17.1,1,NA,1.7,609.550111642743,NA,NA,4,3,0
"Tréguier",0,0,53,22,0,0,2722,"Professeurs du secondaire et techn.",48,NA,41.5,19,NA,6.4,1492.42937913299,75,2.8,5,3,0
"Trélévern",0,0,53,22,0,0,1289,"Ingénieurs",63,NA,39.3,14,NA,8.4,904.440659425912,NA,NA,3,3,0
"Trélivan",0,0,53,22,0,0,2790,"Retraités salariés privés",74,NA,18.3,12,NA,2.9,682.145810035842,NA,NA,5,3,0
"Trémargat",0,0,53,22,0,0,196,"Agriculteurs propriétaires exploit.",65,NA,13.7,5,NA,6,1001.67239795918,NA,NA,6,4,0
"Trémel",0,0,53,22,0,0,428,"Retraités fonct.publique (sf enseig.)",76,NA,26.5,2,NA,3.4,1669.23607476636,NA,NA,5,3,0
"Tréméreuc",0,0,53,22,0,0,776,"Employés (secteur privé)",51,NA,25.6,9,NA,5,825.886662371134,NA,NA,4,3,0
"Trémeur",0,0,53,22,0,0,772,"Retraités de l'enseignement",71,NA,20.1,4,NA,3.3,1400.3754015544,NA,NA,5,3,0
"Tréméven",0,0,53,22,0,0,343,"Sans profession déclarée",69,"Parti socialiste",21.6,3,NA,2.8,617.497580174927,NA,NA,5,3,0
"Trémorel",0,0,53,22,0,0,1186,"Agriculteurs propriétaires exploit.",58,NA,17.3,7,NA,1.3,1433.57503372681,NA,NA,5,3,0
"Trémuson",0,0,53,22,0,0,2094,"Autres retraités",77,NA,19.2,21,NA,3.7,1330.52595988539,NA,NA,3,3,0
"Tréogan",0,0,53,22,0,0,103,"Retraités agricoles",76,NA,28,1,NA,2.6,657.806504854369,NA,NA,6,4,0
"Tressignaux",0,0,53,22,0,0,689,"Agriculteurs propriétaires exploit.",68,NA,19.8,2,NA,2.9,962.00351233672,NA,NA,5,3,0
"Trévé",0,0,53,22,0,0,1676,"Retraités agricoles",76,NA,15.7,7,NA,2.5,1779.54262529833,NA,NA,5,3,0
"Tréveneuc",0,0,53,22,0,0,809,"Retraités agricoles",70,NA,31.3,5,NA,7.5,1103.44990111248,NA,NA,4,3,0
"Trévérec",0,0,53,22,0,0,226,"Salariés du secteur médical",47,NA,20.6,4,NA,2.1,770.010265486726,NA,NA,5,3,0
"Trévou-Tréguignec",0,0,53,22,0,0,1386,"Agriculteurs propriétaires exploit.",54,NA,31.1,15,NA,11.1,1680.70653679654,NA,NA,3,3,0
"Trévron",0,0,53,22,0,0,704,"Industriels-Chefs entreprise",68,NA,16,4,NA,2.5,879.371548295454,NA,NA,5,3,0
"Trézény",0,0,53,22,0,0,368,"Retraités salariés privés",72,NA,17,2,NA,2.3,784.154619565217,NA,NA,3,3,0
"Troguéry",0,0,53,22,0,0,279,"Professeurs du secondaire et techn.",50,NA,19.4,1,NA,3.9,830.796559139785,NA,NA,5,3,0
"Uzel",0,0,53,22,0,0,1075,"Retr.artis.commerc.chefs d'entrep.",75,NA,24.7,4,NA,2.5,1455.48305116279,NA,NA,5,3,0
"La Vicomté-sur-Rance",2,1,53,22,2,0,1084,"Retraités de l'enseignement",77,NA,20.5,15,NA,8.6,1242.62579335793,NA,NA,5,3,0
"Le Vieux-Bourg",0,0,53,22,0,0,808,"Autres professions libérales",60,NA,15.9,3,NA,4.9,955.736819306931,NA,NA,4,3,0
"Le Vieux-Marché",0,0,53,22,0,0,1371,"Autres retraités",73,NA,27,9,NA,6.4,803.129956236324,NA,NA,4,3,0
"Vildé-Guingalan",0,0,53,22,0,0,1265,"Retraités salariés privés",74,NA,16.6,2,NA,3,800.815960474308,NA,NA,5,3,0
"Yffiniac",8,1,53,22,8,0,5110,"Retraités salariés privés",68,NA,18.9,35,NA,5,1263.0668258317,NA,NA,2,2,1
"Yvias",0,0,53,22,0,0,778,"Agriculteurs propriétaires exploit.",58,NA,20,6,NA,10.9,762.550629820051,NA,NA,5,3,0
"Yvignac-la-Tour",0,0,53,22,0,0,1208,"Autres cadres (secteur privé)",65,NA,22,5,NA,3.4,769.864784768212,NA,NA,5,3,0
"Ahun",0,0,75,23,0,0,1591,"Agriculteurs propriétaires exploit.",62,NA,29,7,NA,3.9,930.449572595852,95,6,5,3,0
"Ajain",0,0,75,23,0,0,1161,"Retraités fonct.publique (sf enseig.)",71,NA,33.1,3,NA,2.6,638.3156416882,NA,NA,5,3,0
"Alleyrat",0,0,75,23,0,0,145,"Artisans",68,NA,29.6,1,NA,3.4,952.518965517241,NA,NA,6,4,0
"Anzême",0,0,75,23,0,0,585,"Retraités fonct.publique (sf enseig.)",73,NA,19.6,6,NA,3.8,1127.64252991453,NA,NA,6,4,0
"Arfeuille-Châtain",0,0,75,23,0,0,191,"Fonctionnaires de catégorie C",51,NA,26.8,1,NA,2.3,789.708534031414,NA,NA,6,4,0
"Arrènes",0,0,75,23,0,0,221,"Agriculteurs propriétaires exploit.",41,NA,37.6,5,NA,7.8,770.912307692308,NA,NA,6,4,0
"Ars",0,0,75,23,0,0,262,"Agriculteurs propriétaires exploit.",59,NA,30.3,1,NA,3,817.262328244275,NA,NA,6,4,0
"Aubusson",0,0,75,23,0,0,3605,"Industriels-Chefs entreprise",59,"Parti socialiste",34.3,42,NA,4.7,1224.68139528433,37,1,5,3,1
"Auge",0,0,75,23,0,0,100,"Agriculteurs propriétaires exploit.",61,NA,39.8,0,NA,1.2,778.019,NA,NA,6,4,0
"Augères",0,0,75,23,0,0,120,"Agriculteurs propriétaires exploit.",60,NA,32,0,NA,1,831.303583333333,NA,NA,6,4,0
"Aulon",0,0,75,23,0,0,158,"Autres retraités",70,NA,38.9,0,NA,2.1,1219.07006329114,NA,NA,6,4,0
"Auriat",0,0,75,23,0,0,112,"Agriculteurs propriétaires exploit.",60,NA,33.3,3,NA,4,929.788660714286,NA,NA,6,4,0
"Auzances",0,0,75,23,0,0,1297,"Enseignants 1er deg.-directeurs école",61,NA,40.4,9,NA,3.1,987.595366229761,NA,NA,5,3,0
"Azat-Châtenet",0,0,75,23,0,0,113,"Retraités fonct.publique (sf enseig.)",71,NA,42.9,0,NA,4.9,840.523805309734,NA,NA,6,4,0
"Azerables",0,0,75,23,0,0,837,"Retraités agricoles",73,NA,45.5,4,NA,3.4,1146.97205495818,NA,NA,5,3,0
"Banize",0,0,75,23,0,0,193,"Fonctionnaires de catégorie C",56,NA,37.4,2,NA,8.8,987.287046632124,NA,NA,6,4,0
"Basville",0,0,75,23,0,0,166,"Retraités fonct.publique (sf enseig.)",72,NA,32.7,0,NA,5.7,1196.18265060241,NA,NA,6,4,0
"Bazelat",0,0,75,23,0,0,281,"Agriculteurs propriétaires exploit.",60,NA,35.5,1,NA,1.9,821.345338078292,NA,NA,6,4,0
"Beissat",0,0,75,23,0,0,25,"Retraités des entreprises publiques",62,NA,16,0,NA,8.3,1948.2572,NA,NA,6,4,0
"Bellegarde-en-Marche",0,0,75,23,0,0,415,"Agents technique et techniciens",63,NA,42.5,1,NA,3.2,1089.49773493976,NA,NA,5,3,0
"Bénévent-l'Abbaye",0,0,75,23,0,0,807,"Retraités de l'enseignement",70,NA,35.2,6,NA,4.2,1909.75478314746,NA,NA,5,3,0
"Bétête",0,0,75,23,0,0,372,"Retraités des entreprises publiques",69,NA,28.9,5,NA,2.9,1023.78422043011,NA,NA,6,4,0
"Blaudeix",0,0,75,23,0,0,98,"Fonctionnaires de catégorie A",54,NA,29.5,1,NA,2.2,1698.91693877551,NA,NA,6,4,0
"Blessac",0,0,75,23,0,0,560,"Retraités fonct.publique (sf enseig.)",68,NA,26.9,3,NA,6.4,707.718178571429,NA,NA,5,3,0
"Bonnat",0,0,75,23,0,0,1330,"Enseignants 1er deg.-directeurs école",53,NA,32.7,7,NA,2.6,1041.25627819549,NA,NA,5,3,0
"Bord-Saint-Georges",0,0,75,23,0,0,364,"Agriculteurs propriétaires exploit.",63,NA,25.7,3,NA,2.3,1427.74807692308,NA,NA,6,4,0
"Bosmoreau-les-Mines",0,0,75,23,0,0,256,"Retraités des entreprises publiques",69,NA,34,0,NA,6.6,993.2974609375,NA,NA,6,4,0
"Bosroger",0,0,75,23,0,0,113,"Retraités de l'enseignement",76,NA,22.5,2,NA,4.8,583.393097345133,NA,NA,6,4,0
"Le Bourg-d'Hem",0,0,75,23,0,0,218,"Retraités de l'enseignement",73,NA,34.7,3,NA,2.2,1864.13059633028,NA,NA,6,4,0
"Bourganeuf",0,0,75,23,0,0,2899,"Retraités de l'enseignement",71,NA,32.5,15,NA,3.2,1491.6317316316,NA,NA,5,3,0
"Boussac",0,0,75,23,0,0,1284,"Commercants",55,NA,41.9,10,NA,2.6,1635.75218068536,NA,NA,5,3,0
"Boussac-Bourg",0,0,75,23,0,0,764,"Agriculteurs propriétaires exploit.",59,NA,35,6,NA,3.8,769.617041884817,NA,NA,5,3,0
"La Brionne",0,0,75,23,0,0,448,"Retraités salariés privés",72,NA,20,1,NA,4.3,637.785825892857,NA,NA,5,3,0
"Brousse",0,0,75,23,0,0,27,"Retraités fonct.publique (sf enseig.)",75,NA,18.5,0,NA,4.8,1418.72185185185,NA,NA,6,4,0
"Budelière",0,0,75,23,0,0,742,"Autres professions libérales",67,NA,28.6,5,NA,2.5,876.906293800539,NA,NA,4,3,0
"Bussière-Dunoise",0,0,75,23,0,0,1053,"Fonctionnaires de catégorie C",43,NA,34.2,5,NA,4.3,1081.20445394112,NA,NA,5,3,0
"Bussière-Nouvelle",0,0,75,23,0,0,94,"Sans profession déclarée",66,NA,38.8,0,NA,7.1,561.051170212766,NA,NA,6,4,0
"Bussière-Saint-Georges",0,0,75,23,0,0,258,"Retraités agricoles",68,NA,27,2,NA,5.9,1185.1661627907,NA,NA,6,4,0
"La Celle-Dunoise",0,0,75,23,0,0,558,"Médecins",67,NA,36.3,4,NA,7.9,2699.75639784946,NA,NA,6,4,0
"La Celle-sous-Gouzon",0,0,75,23,0,0,149,"Salariés agricoles",38,NA,22.3,1,NA,4.5,791.781140939597,NA,NA,6,4,0
"La Cellette",0,0,75,23,0,0,267,"Autres retraités",66,NA,50.2,0,NA,3.6,2240.58438202247,NA,NA,6,4,0
"Ceyroux",0,0,75,23,0,0,128,"Agriculteurs propriétaires exploit.",39,NA,43.2,0,NA,5.5,2012.890234375,NA,NA,6,4,0
"Chamberaud",0,0,75,23,0,0,102,"Retraités salariés privés",67,NA,26.5,1,NA,3.6,766.422745098039,NA,NA,6,4,0
"Chambon-Sainte-Croix",0,0,75,23,0,0,78,"Autres cadres (secteur privé)",59,NA,39.7,1,NA,4.5,1744.4791025641,NA,NA,6,4,0
"Chambon-sur-Voueize",0,0,75,23,0,0,922,"Agriculteurs propriétaires exploit.",59,NA,37.6,4,NA,4.9,1293.63184381779,NA,NA,5,3,0
"Chambonchard",0,0,75,23,0,0,84,"Retraités agricoles",77,NA,27.2,1,NA,1.6,1669.22535714286,NA,NA,6,4,0
"Chamborand",0,0,75,23,0,0,247,"Artisans",59,NA,25.4,0,NA,3.9,1094.05939271255,NA,NA,6,4,0
"Champagnat",0,0,75,23,0,0,476,"Retraités de l'enseignement",70,NA,29.7,8,NA,4.6,906.103592436975,NA,NA,6,4,0
"Champsanglard",0,0,75,23,0,0,252,"Fonctionnaires de catégorie B",45,NA,20.7,0,NA,4.6,1424.40591269841,NA,NA,6,4,0
"La Chapelle-Baloue",0,0,75,23,0,0,138,"Sans profession déclarée",59,NA,40,2,NA,2.7,1171.87217391304,NA,NA,6,4,0
"La Chapelle-Saint-Martial",0,0,75,23,0,0,99,"Agriculteurs propriétaires exploit.",57,NA,29.5,0,NA,4.5,900.665858585859,NA,NA,6,4,0
"La Chapelle-Taillefert",0,0,75,23,0,0,431,"Autres professions",57,NA,26,5,NA,4.3,997.248399071926,NA,NA,5,3,0
"Chard",0,0,75,23,0,0,208,"Retraités des professions libérales",71,NA,26.9,1,NA,4.3,702.817307692308,NA,NA,6,4,0
"Charron",0,0,75,23,0,0,240,"Retraités agricoles",69,NA,35.2,2,NA,3.5,1073.42108333333,NA,NA,6,4,0
"Châtelard",0,0,75,23,0,0,31,"Retraités agricoles",90,NA,43.8,0,NA,6.9,1389.92451612903,NA,NA,6,4,0
"Châtelus-le-Marcheix",0,0,75,23,0,0,336,"Agriculteurs propriétaires exploit.",57,NA,34.8,4,NA,6,3797.98630952381,NA,NA,6,4,0
"Châtelus-Malvaleix",0,0,75,23,0,0,582,"Autres cadres (secteur privé)",67,NA,33.8,6,NA,3.9,1784.72134020619,NA,NA,5,3,0
"Le Chauchet",0,0,75,23,0,0,111,"Agriculteurs propriétaires exploit.",61,NA,26.6,0,NA,6.2,723.658738738739,NA,NA,6,4,0
"La Chaussade",0,0,75,23,0,0,117,"Retraités salariés privés",71,NA,22.1,0,NA,1.2,655.745213675214,NA,NA,6,4,0
"Chavanat",0,0,75,23,0,0,146,"Retraités salariés privés",67,NA,26.6,1,NA,6.2,900.392260273973,NA,NA,6,4,0
"Chénérailles",0,0,75,23,0,0,789,"Retraités agricoles",75,NA,28.2,5,NA,3,1085.58278833967,NA,NA,5,3,0
"Chéniers",0,0,75,23,0,0,587,"Retraités salariés privés",67,NA,32.7,4,NA,3.4,2546.97023850085,NA,NA,6,4,0
"Clairavaux",0,0,75,23,0,0,158,"Employés (secteur privé)",51,NA,35.5,0,NA,6.7,1726.73405063291,NA,NA,6,4,0
"Clugnat",0,0,75,23,0,0,655,"Autres cadres (secteur privé)",49,NA,28.2,3,NA,2.4,1228.84349618321,NA,NA,6,4,0
"Colondannes",0,0,75,23,0,0,271,"Commercants",52,NA,31.2,2,NA,1.3,1714.81287822878,NA,NA,6,4,0
"Le Compas",0,0,75,23,0,0,224,"Retraités agricoles",74,NA,38.1,1,NA,3,1011.46325892857,NA,NA,6,4,0
"La Courtine",0,0,75,23,0,0,748,"Employés (secteur privé)",58,NA,25.6,3,NA,3,1187.65312834225,NA,NA,5,3,0
"Cressat",0,0,75,23,0,0,560,"Retraités agricoles",75,"Union pour un mouvement populaire",27.5,3,NA,3.5,1939.15192857143,NA,NA,6,4,0
"Cressat",0,0,75,23,0,0,560,"Retraités agricoles",75,"Rassemblement pour la République",27.5,3,NA,3.5,1939.15192857143,NA,NA,6,4,0
